Month,"Retail sales, Adjusted(Millions of Dollars)","Motor vehicle and parts dealers, Adjusted(Millions of Dollars)","Furniture and home furnishings stores, Adjusted(Millions of Dollars)","Electronics and appliance stores, Adjusted(Millions of Dollars)","Building mat. and garden equip. and supplies dealers, Adjusted(Millions of Dollars)","Food and beverage stores, Adjusted(Millions of Dollars)","Health and personal care stores, Adjusted(Millions of Dollars)","Gasoline stations, Adjusted(Millions of Dollars)","Clothing and clothing access. Stores, Adjusted(Millions of Dollars)","Sporting goods, hobby, musical instrument, and book stores, Adjusted(Millions of Dollars)","General merchandise stores, Adjusted(Millions of Dollars)","Miscellaneous store retailers, Adjusted(Millions of Dollars)","Nonstore retailers, Adjusted(Millions of Dollars)","Food services and drinking places, Adjusted(Millions of Dollars)",Monthly Nominal GDP Index,Monthly Real GDP Index,UNRATE(%),CPI Value,Season
2011-01-01,332141,66225,6984,8236,21483,49626,22695,41824,18371,6558,50834,8818,30487,39700,15257.725,16865.343,9.1,221.187,Winter
2011-02-01,334635,67320,7145,8356,21202,50064,22428,42294,18588,6611,51466,9122,30039,40382,15282.896,16841.056,9.0,221.898,Winter
2011-03-01,337892,67581,7426,8468,21868,50080,22563,43780,18707,6552,51622,8844,30401,40614,15513.723,17056.055,9.0,223.046,Spring
2011-04-01,339711,66704,7313,8529,22053,50840,22448,44648,18969,6615,51916,9057,30619,40624,15584.444,17097.448,9.1,224.093,Spring
2011-05-01,338974,65848,7245,8407,22306,50423,22608,45258,18814,6535,51680,8970,30880,41050,15567.134,17037.902,9.0,224.806,Spring
2011-06-01,341643,66774,7234,8439,22731,50945,22607,44614,19206,6578,52404,9060,31051,41499,15521.039,16970.7,9.1,224.806,Summer
2011-07-01,341321,66536,7263,8548,22763,50946,22728,44796,19009,6469,52037,9167,31059,41516,15615.925,17025.581,9.0,225.395,Summer
2011-08-01,341973,65805,7326,8615,22771,51177,22822,45075,18912,6650,52084,9225,31511,41718,15716.16,17097.181,9.0,226.106,Summer
2011-09-01,345554,68873,7391,8465,22636,51099,22718,45082,19502,6686,52484,9161,31457,42013,15610.956,16971.891,9.0,226.597,Fall
2011-10-01,347691,69886,7295,8825,23240,51276,22830,44801,19138,6597,52411,9066,32326,42162,15858.163,17256.9,8.8,226.75,Fall
2011-11-01,349082,70223,7385,8638,22924,51364,22735,45622,19290,6588,52635,9045,32633,42192,15837.891,17204.125,8.6,227.169,Fall
2011-12-01,349646,71485,7512,8456,23447,51266,22677,45339,19500,6353,52404,8882,32325,41864,15830.723,17207.486,8.5,227.223,Winter
2012-01-01,352564,71720,7646,8504,23625,51535,22973,45702,19567,6568,53057,9310,32357,42905,15935.08,17264.551,8.3,227.842,Winter
2012-02-01,357350,72665,7627,8547,23608,51658,22976,47171,20287,6675,53905,9416,32815,42950,16212.738,17511.975,8.3,228.329,Winter
2012-03-01,358627,72592,7602,8707,24591,52159,22967,47541,20085,6808,53635,9179,32761,42942,16058.597,17325.024,8.2,228.807,Spring
2012-04-01,356607,72937,7502,8569,23430,52248,23045,46960,19557,6827,53229,9199,33104,43365,16179.957,17412.941,8.2,229.187,Spring
2012-05-01,355867,73646,7660,8713,22721,52281,22883,45766,19627,6862,53106,8895,33707,43313,16221.658,17473.225,8.2,228.713,Spring
2012-06-01,352053,72386,7544,8640,22532,52251,22471,43769,19874,6804,53108,9077,33597,43542,16219.73,17447.99,8.2,228.524,Summer
2012-07-01,353688,73190,7658,8741,22678,52231,22793,43443,19691,6805,53207,9177,34074,43719,16319.275,17517.917,8.2,228.59,Summer
2012-08-01,358499,73982,7600,8638,23123,52364,22741,46391,19987,6750,53527,9085,34311,43712,16274.327,17414.972,8.1,229.918,Summer
2012-09-01,361272,75203,7606,8628,23637,52492,22608,47107,20111,6713,53413,9110,34644,44085,16365.021,17476.741,7.8,231.015,Fall
2012-10-01,361685,74820,7416,8350,23804,52805,22504,47976,19911,6742,53613,9153,34591,43752,16337.827,17408.267,7.8,231.638,Fall
2012-11-01,362788,75831,7634,8660,24167,52717,22661,46773,19978,6700,53444,9089,35134,44520,16404.598,17484.552,7.7,231.249,Fall
2012-12-01,364127,76795,7931,8811,24110,52693,22898,45886,20191,6824,53609,9317,35062,44538,16518.832,17577.472,7.9,231.221,Winter
2013-01-01,366967,77715,7932,8801,24384,52654,23140,45993,20431,7004,54067,9233,35613,45148,16678.23,17719.665,8.0,231.679,Winter
2013-02-01,372138,78829,7871,8863,24760,53279,22975,49044,20306,7013,54485,9286,35427,44875,16603.25,17601.623,7.7,232.937,Winter
2013-03-01,368962,78041,7869,8613,24698,53100,23002,47585,20354,6907,54140,9397,35256,45062,16663.087,17666.597,7.5,232.282,Spring
2013-04-01,367040,78269,7837,8656,24783,52730,22896,46165,20464,6767,54122,9303,35048,44730,16682.505,17699.113,7.6,231.797,Spring
2013-05-01,369500,79808,7768,8651,25360,53256,22985,45589,20410,6857,54457,9326,35033,44825,16663.631,17648.556,7.5,231.893,Spring
2013-06-01,370730,81348,7989,8664,24792,53162,22956,45823,20363,6906,54396,9169,35162,44712,16839.925,17782.029,7.5,232.445,Summer
2013-07-01,373090,81672,7966,8594,25356,53569,23213,46000,20558,6931,54578,9205,35448,45020,16881.613,17803.636,7.3,232.9,Summer
2013-08-01,372210,81334,8030,8588,25295,53742,23199,45673,20327,6766,54366,9304,35586,45167,16986.52,17894.736,7.2,233.456,Summer
2013-09-01,372302,80230,8087,8522,25276,53812,23611,45698,20307,6872,54855,9496,35536,45352,16993.381,17883.668,7.2,233.544,Fall
2013-10-01,373253,81521,8199,8630,24904,53937,23625,44982,20742,6858,54892,9481,35482,45994,17117.005,17984.968,7.2,233.669,Fall
2013-11-01,373756,81860,8234,8550,24833,54062,23639,44810,20267,6897,54753,9544,36307,46757,17221.942,18055.047,6.9,234.1,Fall
2013-12-01,376445,81506,7957,8451,24955,54548,23677,46613,20497,6861,54634,9382,37364,46349,17237.111,18009.073,6.7,234.719,Winter
2014-01-01,373083,79154,7826,8495,24927,54795,23634,47126,20538,6477,54548,9249,36314,45932,17136.285,17898.264,6.6,235.288,Winter
2014-02-01,378355,81608,8120,8521,24832,54807,23761,47513,20525,6792,55363,9383,37130,46438,17215.486,17986.909,6.7,235.547,Winter
2014-03-01,382101,84412,8245,8556,25281,54834,23907,46860,20666,6785,55523,9451,37581,47031,17241.443,17977.417,6.7,236.028,Spring
2014-04-01,386376,85859,8375,8532,26134,55271,24106,47078,21127,6891,55900,9376,37727,47154,17404.014,18109.018,6.2,236.468,Spring
2014-05-01,386735,85958,8348,8406,26424,55453,24458,46822,20759,6863,55951,9534,37759,47513,17542.869,18200.114,6.3,236.918,Spring
2014-06-01,387708,86277,8362,8321,26635,55896,24627,45730,20800,6950,55922,9584,38604,47730,17608.641,18249.267,6.1,237.231,Summer
2014-07-01,388043,86649,8391,8403,26107,56138,24637,45762,20882,6927,56035,9622,38490,48107,17749.4,18363.794,6.2,237.498,Summer
2014-08-01,391074,87425,8520,8469,26611,56298,24743,45903,21042,7178,56263,9742,38880,48444,17860.95,18466.665,6.1,237.46,Summer
2014-09-01,389456,86479,8462,8634,26511,56460,24850,45430,20764,7048,56111,9724,38983,49003,17802.334,18391.047,5.9,237.477,Fall
2014-10-01,390413,86899,8485,8592,26528,56768,24763,44500,21132,7165,56274,9896,39411,49682,17906.109,18495.046,5.7,237.43,Fall
2014-11-01,391491,87888,8580,8904,26630,56754,24872,43584,21344,7146,56338,9828,39623,49758,17926.497,18509.819,5.8,236.983,Fall
2014-12-01,388012,87457,8721,8761,26311,57054,25015,40489,21239,7069,56388,9795,39713,50497,17903.631,18495.81,5.6,236.252,Winter
2015-01-01,385312,88582,8692,8619,26522,57106,25208,36614,21031,6939,56447,9849,39703,50813,18002.955,18652.508,5.7,234.747,Winter
2015-02-01,384779,87353,8506,8488,25579,57183,25005,37844,21284,6985,56120,9762,40670,50671,18122.567,18729.565,5.5,235.342,Winter
2015-03-01,390738,91134,8774,8266,26511,57165,25538,38365,21331,7073,56294,9733,40554,51157,18065.066,18618.309,5.4,235.976,Spring
2015-04-01,391246,91852,8885,8391,26765,57083,25111,37782,21430,7084,56278,9790,40795,51721,18243.274,18784.82,5.4,236.222,Spring
2015-05-01,394260,92470,9060,8432,26809,57101,25081,39293,21590,7139,56700,9997,40588,51854,18256.753,18749.045,5.6,237.001,Spring
2015-06-01,394652,92398,8895,8505,26552,57341,25261,39835,21313,7077,56555,10026,40894,51920,18339.324,18813.268,5.3,237.657,Summer
2015-07-01,397994,92667,9065,8351,27416,57566,25474,40313,21562,7136,56896,10053,41495,52149,18368.13,18820.538,5.2,238.034,Summer
2015-08-01,397712,93213,9079,8354,27425,57525,25695,39175,21588,7175,56923,10147,41413,52456,18379.862,18831.586,5.1,238.033,Summer
2015-09-01,395625,93693,9066,8369,27237,57387,25902,36902,21387,7203,56878,9713,41888,52465,18456.886,18920.52,5.0,237.498,Fall
2015-10-01,394121,92897,9165,8273,27360,57182,25750,36547,21245,7097,56793,9717,42095,52784,18469.416,18917.436,5.0,237.733,Fall
2015-11-01,395827,94026,9155,8205,27639,57524,25883,36076,21288,7198,57007,9848,41978,52911,18387.708,18837.534,5.1,238.017,Fall
2015-12-01,396822,93582,9368,8121,28190,57407,26124,35920,21439,7344,57303,9765,42259,53776,18448.287,18921.929,5.0,237.761,Winter
2016-01-01,394305,93190,9242,7950,28204,57553,25952,34552,21281,7292,56229,9792,43068,53071,18494.414,18980.243,4.8,237.652,Winter
2016-02-01,397747,95582,9277,8050,28216,57714,26487,32917,21919,7279,57220,9771,43315,54151,18463.555,18952.742,4.9,237.336,Winter
2016-03-01,396522,93642,9238,7879,28923,57226,26301,34177,21426,7273,56992,10065,43380,53940,18619.83,19072.428,5.0,238.08,Spring
2016-04-01,397977,93838,9197,7872,27973,57903,26531,35219,21380,7198,56857,10128,43881,54261,18704.041,19091.527,5.1,238.992,Spring
2016-05-01,399587,94206,9272,7908,27545,58103,26480,36006,21482,7254,56583,10002,44746,54311,18687.668,19042.327,4.8,239.557,Spring
2016-06-01,404408,94848,9426,7879,28340,58458,26610,37135,21642,7562,57142,10067,45299,54303,18743.397,19054.522,4.9,240.222,Summer
2016-07-01,403560,96115,9342,7922,28033,58161,26612,36816,21411,7218,56762,10015,45153,54334,18778.439,19098.776,4.8,240.101,Summer
2016-08-01,403580,96424,9326,8010,27862,58381,26529,35961,21742,7019,56886,9935,45505,54795,18889.881,19204.273,4.9,240.545,Summer
2016-09-01,405979,97346,9533,7713,28030,58770,26487,36905,21889,7049,56186,10206,45865,55421,19009.597,19290.786,5.0,241.176,Fall
2016-10-01,407000,97024,9380,7618,28033,59053,25721,37859,21703,7092,56845,10368,46304,55362,18983.396,19219.035,4.9,241.741,Fall
2016-11-01,405846,96689,9348,7534,28225,59105,25944,37483,21494,6961,56671,9981,46411,56385,19103.027,19329.376,4.7,242.026,Fall
2016-12-01,412437,99428,9328,7599,28146,59399,26051,39386,21932,7081,56516,10159,47412,55415,19181.714,19364.658,4.7,242.637,Winter
2017-01-01,415660,99370,9501,7682,28464,59565,26060,39949,22058,7216,57644,10126,48025,57359,19228.522,19356.098,4.7,243.618,Winter
2017-02-01,415563,98767,9497,7613,28853,59912,26390,40240,21686,7073,57059,10295,48178,57382,19260.625,19373.787,4.6,244.006,Winter
2017-03-01,414869,96825,9557,7796,28676,60346,26545,39897,21836,6980,57390,10212,48809,57280,19351.105,19465.194,4.4,243.892,Spring
2017-04-01,416613,97394,9395,7865,29033,60480,26725,39776,21834,7050,57482,10255,49324,57373,19321.063,19394.356,4.4,244.193,Spring
2017-05-01,414253,97794,9490,7739,28736,60621,26823,38127,21627,6954,56512,10070,49760,57377,19439.409,19515.209,4.4,244.004,Spring
2017-06-01,416255,98710,9580,7651,28784,60423,27004,37460,21777,6971,57664,10050,50181,57291,19555.456,19611.326,4.3,244.163,Summer
2017-07-01,416403,98858,9520,7582,28933,60397,27101,37409,21646,6848,57331,10267,50511,57149,19577.928,19598.376,4.3,244.243,Summer
2017-08-01,416861,96722,9599,7576,28906,60757,27365,38625,21760,6915,57565,10218,50853,57588,19666.027,19638.293,4.4,245.183,Summer
2017-09-01,426256,100835,9534,7645,29997,61321,27427,40824,21857,6989,58198,10326,51303,57907,19833.831,19745.604,4.3,246.435,Fall
2017-10-01,426561,101546,9824,7695,29544,61600,27594,40784,21754,7016,57920,10346,50938,58287,19883.84,19761.867,4.2,246.626,Fall
2017-11-01,431085,100657,9937,7904,30002,61678,27746,41835,22028,7112,58317,10591,53278,58928,20066.154,19910.614,4.2,247.284,Fall
2017-12-01,433299,100480,10054,7798,30059,62306,27615,42676,21750,7073,58692,10671,54125,59280,20161.27,19974.499,4.1,247.805,Winter
2018-01-01,431006,99948,9860,7840,28991,61792,27604,42901,21791,6793,58405,10861,54220,59420,20251.628,20001.752,4.0,248.859,Winter
2018-02-01,433647,99713,9872,7942,29981,62052,27484,43180,22343,7090,58777,10792,54421,59687,20385.265,20097.463,4.1,249.529,Winter
2018-03-01,432774,99910,9875,7867,29626,62229,27626,42913,21655,7157,58033,10608,55275,60248,20348.767,20032.973,4.0,249.577,Spring
2018-04-01,434998,100001,10031,7941,29813,62345,27909,43181,22038,7063,58071,10677,55928,59500,20474.045,20090.323,4.0,250.227,Spring
2018-05-01,440091,100775,9925,7907,30643,62439,28397,44044,22766,7060,59624,10854,55657,60839,20616.394,20178.514,3.8,250.792,Spring
2018-06-01,437762,100391,9948,7944,31162,62198,28105,43811,22192,6851,58575,10782,55803,61456,20652.297,20182.585,4.0,251.018,Summer
2018-07-01,440024,100877,10020,7843,31279,62598,28247,43996,22495,6544,58934,10422,56769,62231,20751.521,20258.191,3.8,251.214,Summer
2018-08-01,439439,100050,9878,7898,30910,62430,28478,44681,22061,6479,58998,10614,56962,62523,20807.139,20287.982,3.8,251.663,Summer
2018-09-01,438880,99414,9868,7753,31106,62775,28379,44178,21941,6384,58786,10631,57665,61153,20837.53,20282.312,3.7,252.182,Fall
2018-10-01,443924,100091,9915,7797,31608,63058,28595,45871,22407,6380,59320,10866,58016,61698,20892.922,20286.933,3.8,252.772,Fall
2018-11-01,445847,101122,9928,7770,30952,63222,29102,43530,22464,6428,60005,10863,60461,61431,20912.47,20302.771,3.8,252.594,Fall
2018-12-01,435613,102208,10067,7669,30922,63263,27925,41031,22109,6326,59530,10656,53907,61360,20948.209,20324.922,3.9,252.767,Winter
2019-01-01,438860,99233,9778,7711,32019,64131,28785,40002,21976,6431,59416,10429,58949,61348,21087.059,20428.484,4.0,252.561,Winter
2019-02-01,439249,100482,9804,7615,30501,62976,29126,41491,22033,6500,58865,10563,59293,61679,21087.401,20392.6,3.8,253.319,Winter
2019-03-01,446687,103378,9889,7630,30834,64087,29035,43205,22357,6541,59647,10700,59384,62257,21137.939,20424.372,3.8,254.277,Spring
2019-04-01,446833,101385,9958,7467,30855,64304,28936,44734,22306,6659,59513,10895,59821,62731,21290.433,20502.273,3.7,255.233,Spring
2019-05-01,449524,102958,10032,7624,30572,64292,29185,43911,22116,6684,59340,11078,61732,63406,21363.656,20563.594,3.6,255.296,Spring
2019-06-01,449409,102707,10098,7570,30622,64586,29029,42168,22119,6739,59471,11062,63238,64307,21500.236,20687.74,3.6,255.213,Summer
2019-07-01,453221,103472,10125,7607,31137,65380,28895,42831,22450,6617,60189,10939,63579,65053,21640.92,20773.845,3.7,255.802,Summer
2019-08-01,456082,105665,10093,7560,31469,65444,28902,42803,22412,6684,59883,11150,64017,65266,21695.348,20821.844,3.6,256.036,Summer
2019-09-01,452230,103249,10252,7560,31151,64867,28825,42444,22216,6661,59355,11065,64585,65958,21746.578,20857.095,3.5,256.43,Fall
2019-10-01,453365,103230,10132,7500,31076,64643,29107,42961,22283,6713,59726,11232,64762,66430,21776.227,20858.705,3.6,257.155,Fall
2019-11-01,456587,105958,10185,7534,31164,64816,28827,42884,22247,6473,60360,11416,64723,66533,21936.397,20994.132,3.6,257.879,Fall
2019-12-01,457253,103946,10239,7584,31527,65335,28517,44150,23116,6684,60287,11242,64626,67701,21994.547,21000.636,3.6,258.63,Winter
2020-01-01,456420,102317,10405,7429,32015,64626,29318,43402,22854,6705,60539,11531,65279,68991,22018.618,20964.473,3.6,258.906,Winter
2020-02-01,456401,102964,10239,7327,32081,64741,29680,41481,22679,6682,60821,11483,66223,68979,22113.375,21047.836,3.5,259.246,Winter
2020-03-01,429196,75948,7977,6005,31953,81748,31032,35024,11435,5508,62573,9686,70307,48480,20987.546,19985.247,4.4,258.15,Spring
2020-04-01,376918,65463,3971,3364,31734,70991,26361,27076,2885,3683,55973,7037,78380,31394,18949.189,18158.546,14.8,256.126,Spring
2020-05-01,443726,98394,7159,4137,36132,72203,26900,30045,8345,6432,60914,8698,84367,41252,19815.645,18958.37,13.2,255.848,Spring
2020-06-01,473811,106827,9917,5834,36468,70807,28822,33866,17254,8113,61590,10633,83680,53159,20974.596,19990.45,11.0,257.004,Summer
2020-07-01,480116,106502,10230,6652,35941,71251,30474,35471,17984,7851,61365,11174,85221,55528,21399.651,20310.175,10.2,258.408,Summer
2020-08-01,482243,107210,10736,6754,36389,70182,30019,36328,18300,7319,60132,11425,87449,58180,21635.223,20504.946,8.4,259.366,Summer
2020-09-01,491386,110872,10798,6565,36819,70133,30429,36584,20719,7790,61876,11466,87335,59745,21908.046,20724.711,7.8,259.951,Fall
2020-10-01,489705,110277,10666,6998,36278,69628,30384,36510,20229,7686,61206,11542,88301,59566,22047.558,20819.775,6.8,260.249,Fall
2020-11-01,487287,109215,10452,6730,36532,70535,29955,35533,19275,7590,60817,11625,89028,57134,21896.625,20619.62,6.7,260.895,Fall
2020-12-01,495533,111339,10657,6471,36471,70450,30157,38879,20072,7635,61041,12255,90106,53767,22129.323,20737.672,6.7,262.005,Winter
2021-01-01,511693,114276,11790,7286,38691,71487,30204,40944,20888,8436,65060,12148,90483,58817,22540.056,21026.866,6.4,262.518,Winter
2021-02-01,498200,110697,11152,6982,36956,71740,30005,41744,19869,7602,61821,11918,87714,57289,22331.954,20743.492,6.2,263.583,Winter
2021-03-01,550963,130568,11949,8190,42276,72199,32527,46437,24261,9207,66483,13302,93564,65385,22928.545,21206.388,6.1,264.91,Spring
2021-04-01,554420,133910,12005,8255,42189,72826,32394,45214,24274,9013,67371,13288,93681,68285,23135.405,21284.595,6.1,266.752,Spring
2021-05-01,545289,130237,11822,8088,40385,73368,31795,45585,24875,8732,66479,12641,91282,70254,23281.362,21301.08,5.8,268.452,Spring
2021-06-01,548693,126502,11706,8410,39911,74046,32826,46655,25868,8656,66184,13346,94583,73432,23460.318,21347.863,5.9,270.664,Summer
2021-07-01,537817,122077,11775,8270,39109,73879,32678,47502,25152,8434,66217,13496,89228,74830,23662.548,21434.344,5.4,271.994,Summer
2021-08-01,542140,118938,11738,7962,39041,75605,32981,48620,24677,8451,66738,13644,93745,74752,23819.96,21465.278,5.1,272.789,Summer
2021-09-01,545726,119999,11763,7854,39307,75819,32676,50151,25076,8406,66875,13821,93979,74803,24004.412,21554.44,4.7,273.887,Fall
2021-10-01,555517,122184,11996,8349,40011,76140,32506,51883,25248,8414,67801,13951,97034,75045,24461.039,21797.574,4.5,276.434,Fall
2021-11-01,562175,124570,11920,7458,41147,76378,32870,52934,25824,8666,67820,14106,98482,75600,24574.991,21771.171,4.1,278.799,Fall
2021-12-01,558148,121589,11509,7410,41298,76948,32866,54338,24718,8424,67998,14018,97032,74367,24927.778,21979.084,3.9,280.808,Winter
2022-01-01,571325,128830,11808,7454,42376,77429,33049,53670,24050,8236,68679,13919,101825,72709,24875.862,21778.155,4.0,282.39,Winter
2022-02-01,574609,129561,11926,7580,42196,77479,32877,56028,24708,8545,69414,14057,100238,75913,25001.811,21731.158,3.8,284.535,Winter
2022-03-01,585912,128603,12056,8216,43113,78318,33011,63183,25838,8620,70000,14440,100514,78255,25209.675,21712.212,3.6,287.553,Spring
2022-04-01,592141,130876,12383,8459,42996,78537,33315,63821,25882,8550,71187,14476,101659,81104,25311.151,21704.231,3.7,288.764,Spring
2022-05-01,589282,125373,12206,8056,42543,79299,33166,66679,25379,8523,71773,14346,101939,81758,25540.881,21707.463,3.6,291.359,Spring
2022-06-01,593360,125577,11989,7864,42581,79908,33736,67937,25565,8542,72751,14609,102301,82342,25780.787,21717.798,3.6,294.996,Summer
2022-07-01,589039,123450,11914,7984,42692,79859,33973,66021,24969,8534,71997,14382,103264,82028,25763.104,21720.243,3.5,294.977,Summer
2022-08-01,590987,126957,12066,7895,43154,80268,33883,61054,25259,8645,72566,14705,104535,84120,26118.837,21967.916,3.6,295.209,Summer
2022-09-01,588894,125917,11927,7835,42924,80777,34170,58395,25552,8623,73296,14360,105118,84418,26101.976,21870.323,3.5,296.341,Fall
2022-10-01,595839,128599,12218,7800,43297,81592,34080,60478,25599,8682,73268,14236,105990,85909,26302.515,21936.989,3.6,297.863,Fall
2022-11-01,588309,125807,11808,7176,41994,81795,34304,59627,25384,8574,73388,13852,104600,85365,26452.558,22001.067,3.6,298.648,Fall
2022-12-01,581749,122376,11503,7087,42275,81576,33644,56526,24916,8699,73022,13846,106279,84985,26470.142,22036.766,3.5,298.812,Winter
2023-01-01,603496,133781,12964,8032,43082,81347,35002,56394,26045,8663,74707,14618,108861,90330,26737.452,22124.348,3.4,300.356,Winter
2023-02-01,598274,130506,12159,7723,42685,81935,35582,55233,25559,8556,74429,14323,109584,88160,26822.073,22104.968,3.6,301.509,Winter
2023-03-01,590606,129160,11835,7788,40867,81425,35682,54863,25387,8554,72099,14121,108825,88461,26881.278,22112.698,3.5,301.744,Spring
2023-04-01,594962,130983,11553,7622,41077,81206,36074,53994,25155,8616,73169,14437,111076,88736,26933.757,22120.239,3.4,303.032,Spring
2023-05-01,596688,131953,11446,7711,41919,81288,36414,52560,25195,8574,73235,14338,112055,89984,27069.169,22251.689,3.7,303.365,Spring
2023-06-01,598006,133441,11608,7771,41118,81181,36339,52180,25286,8513,73392,14687,112490,90804,27186.11,22309.563,3.6,304.003,Summer
2023-07-01,599270,132057,11351,7576,41014,81384,35844,52074,25584,8777,73793,14474,115342,91371,27387.137,22414.678,3.5,304.628,Summer
2023-08-01,603889,132618,11296,7670,41223,81826,36521,55766,25843,8474,74074,13883,114695,92051,27624.016,22501.321,3.8,306.187,Summer
2023-09-01,608307,133853,11326,7718,41045,82046,36755,56439,25583,8480,74074,14612,116376,92979,27819.23,22561.605,3.8,307.288,Fall
2023-10-01,606596,132283,11049,7792,40940,82114,37607,55546,25516,8439,74007,14774,116529,93381,27757.209,22524.995,3.8,307.531,Fall
2023-11-01,606035,133125,11319,7508,40841,82181,37455,53518,25764,8501,73841,14747,117235,94672,27936.313,22674.04,3.7,308.024,Fall
2023-12-01,608730,133754,11198,7363,40963,82158,36799,53099,26147,8364,74767,14745,119373,94526,28177.472,22844.025,3.7,308.742,Winter
2024-01-01,601921,130745,11209,7597,39375,81865,36213,52376,25960,8367,74833,14792,118589,93710,28072.857,22684.233,3.7,309.685,Winter
2024-02-01,606720,133673,10968,7814,40301,81992,36142,53397,25949,8424,75145,15109,117806,93799,28360.395,22829.79,3.9,311.054,Winter
2024-03-01,610060,133485,10743,7611,40222,82265,36202,53801,25321,8316,75835,15478,120781,93678,28374.27,22767.625,3.8,312.23,Spring
2024-04-01,608458,132104,10941,7810,40402,82825,36117,54663,25893,8129,75189,15201,119184,94223,28553.963,22853.52,3.9,313.207,Spring
2024-05-01,610010,133545,11034,7938,40189,82758,36669,53440,26227,8226,75273,14982,119729,94299,28687.91,22960.986,4.0,313.225,Spring
2024-06-01,607986,128751,11104,7821,40803,82893,36911,52340,26248,8218,75247,15226,122424,94364,28717.658,22967.554,4.1,313.049,Summer
2024-07-01,615855,134400,11298,7908,41144,83677,37543,52604,26276,8146,75864,15107,121888,94554,28909.887,23069.876,4.3,313.534,Summer
